column,Row Order,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,TO-MAR BLACKSTAR ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,SINGING-BROOK N-B MASCOT ET,MAUGHLIN STORM,OSDEL-ENDEAVOR BOVA CUBBY,HANOVERHILL STARBUCK,JOCKO BESN,BIS-MAY S-E-L MOUNTAIN ET,BIS-MAY TRADITION CLEITUS,SHOREMAR JAMES,GIBBON,Q250 BESNE BUCK,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,SOUTHWIND BELL OF BAR-LEE,ENSENADA TABOO PLANET ET,MARA-THON BW MARSHALL,ROSE-BAUM TABOO,ELITE MOUNTAIN DONOR IMP (E_T),ELITE GOLD BULLION-IMP-ET,MAIZEFIELD BELLWOOD - (E_T_),WALKWAY CHIEF MARK,AG-HIGH SIGHTS BS INGOT-ET,KED JUROR ET,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,ROUMARE,HOW-EL-ACRES K BELLMAN ET,ETAZON KNOCK OUT,LEKKER VALIANT ROYALTY,HILL VALLEY BASAR ACME,BASAR,DIXIE-LEE AARON -ET,BELT,END-ROAD BLACKSTAR MAJIC-ET,NORRIELAKE CLEITUS LUKE TWIN,FATAL,CARLIN-M IVANHOE BELL,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,ETAZON CELSIUS,ETAZON ADDISON,DELLKA JUROR GORDON - TW,BUSHLEA WAVES FABULON
KAARMONA CARLANA - CARLANA,15,0,0.41,0,0.226666667,0.206666667,0,0,0,0.35,0,0.1,0,0,0,0,0,0.103333333,0,0,0,0.083333333,0,0,0,0,0.256666667,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0.02
INDIJKS BABYLON - 29HO12470,16,0,0.82,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093333333,0,0,0,0,0,0,0,0.036666667,0,0,0,0.086666667,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,17,0,0.82,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.243333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036666667,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,18,0,0,0.616666667,0,0,0,0,0,0.35,0,0,0.146666667,0,0,0,0,0.103333333,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.133333333,0.123333333,0,0.086666667,0,0,0,0,0.033333333,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,19,0,0.41,0.616666667,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,20,1,0,0,0,0,0,0,0,0,0.323333333,0,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0.073333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,21,0.5,0.41,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0.146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,22,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.04,0.28,0.04,0,0,0.243333333,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,23,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0.323333333,0.1,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0.023333333,0,0,0,0.013333333,0,0,0,0
PETHERTON DENSITY - 0200HO02700,24,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0.323333333,0.1,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0.023333333,0,0,0,0.013333333,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,25,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0.323333333,0.1,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036666667,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,26,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0.213333333,0,0,0,0.103333333,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063333333,0,0,0,0,0,0.026666667,0,0,0.023333333,0,0,0,0.013333333,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,27,0,0.41,0,0.226666667,0.206666667,0,0,0,0.35,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,28,0,0,0.616666667,0,0,0.36,0.326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,29,0,0,0,0,0,0,0,0,0,0,0,0.146666667,0.213333333,0,0,0,0.103333333,0.13,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0.063333333,0,0,0,0.133333333,0.123333333,0,0.086666667,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,30,0,0,0,0.226666667,0.206666667,0.36,0,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0.026666667,0,0.013333333,0,0,0,0,0.013333333,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,31,0.5,0,0,0.226666667,0.206666667,0,0.326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,32,0,0,0.616666667,0,0,0,0,0,0,0,0,0,0.213333333,0,0,0,0.103333333,0.13,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0.063333333,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,33,0,0,0,0,0,0.36,0.326666667,0,0,0,0,0,0.213333333,0,0,0,0.103333333,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,34,0,0,0,0.226666667,0.206666667,0,0,0,0,0.323333333,0,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,35,0,0,0,0.226666667,0.206666667,0,0,0,0,0.323333333,0,0,0,0,0,0.093333333,0,0,0.066666667,0.08,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,36,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0.023333333,0,0,0,0.013333333,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,37,0,0,0,0,0,0.36,0,0.366666667,0,0,0,0,0,0,0,0.093333333,0,0,0.066666667,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0
VH OYVIND - VIKHOYVIND,38,0,0.41,0,0.226666667,0.206666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036666667,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,39,0,0,0.616666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0.146666667,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,40,0,0,0,0.226666667,0.206666667,0,0.326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,41,0,0,0,0.226666667,0.206666667,0,0.326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,42,0,0,0,0.226666667,0.206666667,0,0.326666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,43,0,0,0,0,0,0.36,0,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,44,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076666667,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,45,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.076666667,0,0,0,0.05,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,46,0,0,0,0.226666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,47,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,50,0,0,0,0,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
