column,Row Order,SINGING-BROOK N-B MASCOT ET,GIBBON,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,TO-MAR BLACKSTAR ET,MAUGHLIN STORM,SOUTHWIND BELL OF BAR-LEE,BRAEDALE GOLDWYN,SHOREMAR JAMES,MADAWASKA AEROSTAR,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,BIS-MAY S-E-L MOUNTAIN ET,EMPRISE BELL ELTON,Q250 BESNE BUCK,CARENDA FABULON-ET,ELITE MOUNTAIN DONOR IMP (E_T),HANOVERHILL STARBUCK,SHOREMAR PERFECT STAR (ET),ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,BASAR,HILL VALLEY BASAR ACME,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,BELT,FATAL,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,HOW-EL-ACRES K BELLMAN ET,ETAZON CELSIUS,LEKKER VALIANT ROYALTY,ETAZON KNOCK OUT,BUSHLEA PERFECTOR BOLD-ET,CAROL PRELUDE MTOTO ET,NORRIELAKE CLEITUS LUKE TWIN,PICSTON SHOTTLE,A RONNYBROOK PRELUDE ET,UGELA BELL (PENN-SPRINGS MR C),CARLIN-M IVANHOE BELL,MANNA FARM DEL SANTO,BUSHLEA WAVES FABULON,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,EMERALD-ACRES-SA TONIC ET,JARDIN,WHITTIER-FARMS NED BOY,COUNTRY ROAD ROUMARE CANBEE,KED JUROR ET,ST_ CLAIR SHOLTZ-TWIN
BALLYCAIRN OMAN PELLO - 29HO12772,14,0,0,0.176470588,0.176470588,0,0.474789916,0,0.256302521,0.256302521,0,0,0.256302521,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037815126,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,15,0,0.743697479,0,0,0,0,0,0,0,0,0.415966387,0,0,0,0.340336134,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,0,0,0,0.021008403,0,0,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,16,0,0,0,0,0,0.474789916,0,0.256302521,0.256302521,0.285714286,0,0.256302521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,17,0,0,0.176470588,0.176470588,0,0.474789916,0,0.256302521,0.256302521,0,0,0.256302521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,18,0,0,0.176470588,0.176470588,0,0.474789916,0,0.256302521,0.256302521,0,0,0.256302521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,19,0.777310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361344538,0,0,0,0.147058824,0,0.197478992,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,20,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0.739495798,0.201680672,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.037815126,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,21,0.777310924,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0.197478992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,22,0,0,0,0,0.424369748,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.302521008,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.147058824,0,0,0,0.021008403,0,0.021008403,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,23,0.777310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361344538,0,0.155462185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025210084,0,0,0
VH MOGENS - VIKVHMOGENS,24,0,0,0.176470588,0.176470588,0.424369748,0,0,0,0,0.142857143,0,0,0,0.100840336,0,0,0,0.151260504,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0.021008403,0,0,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,25,0,0,0,0,0,0,0,0.256302521,0.256302521,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151260504,0.021008403,0,0.021008403,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,26,0,0,0.176470588,0.176470588,0,0,0,0.256302521,0.256302521,0.142857143,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0.021008403,0,0.021008403,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,27,0,0,0.176470588,0.176470588,0.424369748,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0.021008403,0,0,0.012605042,0,0,0,0,0,0,0,0,0,0,0.058823529,0
FIR-RIDGE PLANET PLUTO - 14H6239,28,0,0,0.176470588,0.176470588,0.424369748,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,29,0,0,0.176470588,0.176470588,0,0,0,0,0,0.142857143,0,0,0,0.100840336,0,0,0,0.151260504,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025210084,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,30,0.777310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,31,0,0,0.176470588,0.176470588,0,0,0,0,0,0.142857143,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0.021008403,0.042016807,0.021008403,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,32,0,0,0.176470588,0.176470588,0,0,0,0,0,0.142857143,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0.021008403,0.042016807,0.021008403,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,33,0,0,0.176470588,0.176470588,0,0,0,0,0,0.142857143,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0.021008403,0.042016807,0.021008403,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,34,0,0,0,0,0.424369748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,35,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100840336,0.037815126,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,36,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0.201680672,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037815126,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,37,0,0,0,0,0.424369748,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021008403,0,0.021008403,0.012605042,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,38,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0.042016807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,39,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0.046218487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,40,0,0,0.176470588,0.176470588,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012605042,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,41,0,0,0,0,0.424369748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021008403,0,0,0.012605042,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,42,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012605042,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,43,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012605042,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,44,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012605042,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,45,0,0,0.176470588,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155462185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025210084,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,47,0,0,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155462185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021008403,0,0.021008403,0,0,0,0,0,0.008403361,0.008403361,0,0,0,0,0,0
