column,Row Order,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,TO-MAR BLACKSTAR ET,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,HANOVERHILL STARBUCK,PICSTON SHOTTLE,SINGING-BROOK N-B MASCOT ET,OUT-JOCK CHOICE AMEL,MAUGHLIN STORM,STARTMORE RUDOLPH,BIS-MAY TRADITION CLEITUS,CARLIN-M IVANHOE BELL,KED JUROR ET,HOW-EL-ACRES K BELLMAN ET,MARA-THON BW MARSHALL,NORRIELAKE CLEITUS LUKE TWIN,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,JOCKO BESN,BIS-MAY S-E-L MOUNTAIN ET,MAIZEFIELD BELLWOOD - (E_T_),TESK-HOLM VALIANT ROCKIE,SOUTHWIND BELL OF BAR-LEE,THE CHOICE OF MARK ADAM ET,WALKWAY CHIEF MARK,Q250 BESNE BUCK,ROCKALLI SON OF BOVA,RAMOS,CAL-CLARK BOARD CHAIRMAN,ETAZON CELSIUS,ELITE MOUNTAIN DONOR IMP (E_T),LYLEHAVEN AMBITION ET,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,END-ROAD PVF BOLIVER,MAINSTREAM MANIFOLD,WHITTIER-FARMS NED BOY,BRAEDALE GOLDWYN,SHOREMAR JAMES,A MARK CJ GILBROOK GRAND ET,FUSTEAD EMORY BLITZ,DIXIE-LEE AARON -ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BADGER-BLUFF FANNY FREDDIE,DELLKA JUROR GORDON - TW
BALLYCAIRN OMAN PELLO - 29HO12772,15,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0,0,0.100872093,0,0,0.143023256,0,0,0,0,0,0,0,0,0,0.075581395,0,0,0,0,0.06627907,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,16,0,0,0,0,0.682848837,0.326453488,0.334593023,0.181104651,0.481395349,0.124127907,0,0,0,0,0,0,0,0.202034884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,17,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0,0,0,0,0,0.143023256,0,0,0,0,0,0,0,0,0,0.075581395,0,0,0,0,0.06627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,18,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0,0,0.100872093,0,0,0,0,0,0,0.056104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0.010465116,0,0,0,0
PETHERTON DENSITY - 0200HO02700,19,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0,0,0.100872093,0,0,0,0,0,0,0.056104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0.010465116,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,20,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056104651,0,0,0.061918605,0,0,0,0,0,0,0.044476744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010465116,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,21,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0.126453488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,22,0.625,0.438081395,0.5,0.509011628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010465116,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,23,0.625,0.438081395,0,0,0,0.326453488,0.334593023,0,0,0,0,0,0,0.187790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077034884,0,0,0,0.069767442,0,0.03372093,0,0,0,0,0,0,0.018604651,0,0,0,0,0
HILL VALLEY NIELS - NIELS,24,0,0,0,0,0.682848837,0.326453488,0.334593023,0.181104651,0,0.124127907,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069767,0.004069767,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,25,0,0,0,0,0.682848837,0,0,0,0.240697674,0,0,0,0,0,0,0,0,0.202034884,0,0,0.195930233,0.194767442,0.061918605,0,0,0,0.075,0,0,0.044476744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,26,0.625,0.438081395,0,0,0,0,0.334593023,0,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372093,0,0,0,0,0,0,0.018604651,0,0.004069767,0.004069767,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,27,0.625,0.438081395,0,0,0,0,0.334593023,0,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372093,0,0,0,0,0,0,0.018604651,0,0.004069767,0.004069767,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,28,0.625,0.438081395,0,0,0,0,0.334593023,0,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372093,0,0,0,0,0,0,0.018604651,0,0.004069767,0.004069767,0,0
RENGAW JARDIN JANEK - JANEK,29,0,0,0,0,0,0.326453488,0.334593023,0.181104651,0.240697674,0.124127907,0,0,0,0,0.173255814,0,0,0,0,0,0,0,0.061918605,0,0,0,0.0375,0,0,0.044476744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,30,0,0,0,0,0.682848837,0,0.334593023,0.181104651,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069767,0.004069767,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,31,0.625,0.438081395,0,0,0,0,0,0,0,0,0,0.070930233,0.100872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0,0.004069767,0.004069767,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,32,0.625,0.438081395,0,0,0,0,0,0,0,0,0,0.070930233,0.100872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0,0.004069767,0.004069767,0,0
PENN-ENGLAND ISADOR - 29HO16319,33,0.625,0.438081395,0,0,0,0,0,0,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.066860465,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,34,0,0,0,0,0,0.652906977,0,0,0,0,0.126453488,0,0.100872093,0,0,0,0,0,0,0,0,0,0,0.119476744,0,0,0,0,0.045930233,0,0,0,0,0,0.07122093,0,0.04622093,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,35,0,0,0,0,0.682848837,0,0,0,0.240697674,0,0.126453488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,36,0,0,0,0,0.682848837,0,0,0,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.091860465,0,0,0,0.160174419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069767,0.004069767,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,37,0,0,0,0,0,0.652906977,0,0,0,0,0.126453488,0,0.100872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.045930233,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0,0,0,0,0
EDELWEISS - EDELWEISS,38,0,0,0,0,0.682848837,0,0,0,0,0,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0.061918605,0,0,0,0,0.05,0,0.044476744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069767,0.004069767,0,0
MR APPLES ARMANI - 7H11703,39,0,0,0,0,0,0.652906977,0,0,0,0,0,0,0.100872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045930233,0,0,0,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0.010755814,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,40,0,0,0,0,0,0,0.334593023,0.181104651,0,0,0,0,0,0.187790698,0,0,0,0,0,0,0,0,0.061918605,0,0,0,0,0,0,0.044476744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,41,0,0.438081395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066860465,0,0,0,0,0,0,0,0,0,0.03255814,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,42,0,0,0,0,0,0,0,0,0.240697674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061918605,0,0,0,0.075,0,0,0.044476744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,43,0,0,0,0,0,0,0,0.181104651,0,0.124127907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077034884,0,0,0,0,0,0,0,0,0,0.010174419,0.010174419,0,0,0,0.004069767,0.004069767,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,44,0,0,0,0,0,0,0,0.181104651,0,0.124127907,0,0.070930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069767,0.004069767,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,45,0,0,0,0,0,0,0,0,0,0,0.126453488,0,0,0,0.173255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039825581,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039825581,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,47,0,0,0,0,0,0,0,0,0,0,0.126453488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,49,0,0,0,0,0,0,0,0,0,0,0.126453488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
