column,Row Order,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,ROUMARE,BUSHLEA PERFECTOR BOLD-ET,JOCKO BESN,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,ELITE GOLD BULLION-IMP-ET,GIBBON,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,ELITE MOUNTAIN DONOR IMP (E_T),MANNA FARM DEL SANTO,MAUGHLIN STORM,SINGING-BROOK N-B MASCOT ET,BUSHLEA WAVES FABULON,TO-MAR BLACKSTAR ET,COUNTRY ROAD ROUMARE CANBEE,Q250 BESNE BUCK,BASAR,BIS-MAY S-E-L MOUNTAIN ET,PICSTON SHOTTLE,AG-HIGH SIGHTS BS INGOT-ET,SOUTHWIND BELL OF BAR-LEE,JARDIN,ENSENADA TABOO PLANET ET,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,SHOREMAR PERFECT STAR (ET),EMPRISE BELL ELTON,FATAL,ST_ CLAIR SHOLTZ-TWIN,ETAZON KNOCK OUT,HANOVERHILL STARBUCK,CAROL PRELUDE MTOTO ET,OSDEL-ENDEAVOR BOVA CUBBY,BELT,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,ROSE-BAUM TABOO,ETAZON CELSIUS,HOW-EL-ACRES K BELLMAN ET,LEKKER VALIANT ROYALTY,NORRIELAKE CLEITUS LUKE TWIN,A RONNYBROOK PRELUDE ET,UGELA BELL (PENN-SPRINGS MR C),EMERALD-ACRES-SA TONIC ET,CARLIN-M IVANHOE BELL,KED JUROR ET,WHITTIER-FARMS NED BOY
BALLYCAIRN OMAN PELLO - 29HO12772,14,0.393092105,0.149671053,0,0,0,0,0,0,0,0.098272947,0.037416947,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0,0.025491789,0,0,0.011512526,0,0,0,0,0,0.006167474,0,0,0,0,0,0,0,0,0,0,0,0.004111579,0,0
PETHERTON DENSITY - 0200HO02700,15,0.393092105,0.129934211,0,0,0,0,0,0,0,0.098272947,0.032482737,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0,0.025491789,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0,0,0,0,0.004522737,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,16,0.393092105,0.129934211,0,0,0,0,0,0,0,0.098272947,0.032482737,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0,0.025491789,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0,0,0,0,0.004522737,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,17,0.393092105,0.125,0,0,0,0,0,0,0,0.098272947,0.031249158,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0.025491789,0,0,0,0,0,0,0,0,0,0,0,0,0.002467053,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,18,0.393092105,0.125,0,0,0,0,0,0,0,0.098272947,0.031249158,0,0,0.085112947,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0.025491789,0,0,0,0,0,0,0,0,0,0,0,0,0.002467053,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,19,0.388157895,0.129934211,0,0,0,0,0,0,0,0.097039368,0.032482737,0,0,0,0,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0.014390526,0,0.010278947,0,0,0,0,0.007401263,0.004933895,0,0,0,0,0,0,0,0,0.001644632,0,0,0,0,0
MR APPLES ARMANI - 7H11703,20,0.412828947,0,0,0,0,0,0,0,0,0.103207158,0,0,0,0.086346526,0,0,0,0,0,0,0,0,0,0,0,0,0.026725368,0.014801684,0,0,0,0,0,0,0,0,0,0.015624316,0,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,21,0,0.149671053,0,0,0,0,0,0,0,0,0.037416947,0,0,0,0,0,0,0,0,0,0.115950211,0,0,0,0,0,0,0,0,0.011923684,0,0,0,0,0,0.006167474,0,0,0,0,0,0,0.014390526,0,0,0,0,0.004111579,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,22,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0.083876842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010278947,0,0,0.064144421,0,0,0.004933895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,23,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0.053040316,0,0,0,0,0,0,0,0,0,0,0.014390526,0,0.010278947,0,0,0,0.015212842,0.012335474,0.004933895,0,0,0,0,0,0,0,0,0.002878211,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,24,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0.053040316,0,0,0,0,0,0,0,0,0.029605263,0,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0.007401263,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,25,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0.053040316,0,0,0,0,0,0,0,0,0,0,0,0,0.010278947,0,0,0,0,0.007401263,0.004933895,0,0,0,0,0,0,0,0,0.001644632,0,0,0,0.012335263,0
ALJO TEL MAELSTROM - CRVMAELSTROM,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083876842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066610211,0,0.064144421,0,0,0,0,0,0,0,0.024670316,0,0,0,0,0.010278947,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,27,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0.014390526,0,0.010278947,0,0,0,0,0.007401263,0.004933895,0,0,0,0,0,0,0,0.004522737,0.001644632,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,28,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0.014390526,0,0.010278947,0,0,0,0,0.007401263,0.004933895,0,0,0,0,0,0,0,0.004522737,0.001644632,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,29,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0.014390526,0,0.010278947,0,0,0,0,0.007401263,0.004933895,0,0,0,0,0,0,0,0.004522737,0.001644632,0,0,0,0,0
VH OYVIND - VIKHOYVIND,30,0,0.149671053,0,0,0,0,0,0,0,0,0.037416947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011512526,0,0,0,0,0,0.006167474,0,0,0,0,0,0,0,0,0,0.010278947,0,0.004111579,0,0
COGENT TWIST - COGENTTWIST,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053040316,0,0,0,0,0.049342105,0,0,0,0,0,0.015624105,0,0,0,0,0,0.015624,0.012335474,0,0,0,0,0,0.025903895,0.037004947,0,0,0.002878211,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,32,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015624105,0,0.010278947,0,0,0,0.015212842,0,0.004933895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002878105
MAINSTREAM MANIFOLD - HOMANIFOLD,33,0,0.149671053,0,0,0,0,0,0,0,0,0.037416947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011923684,0,0,0,0,0,0.006167474,0,0,0,0,0,0,0,0,0,0,0,0.004111579,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,34,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0.002467053,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,35,0,0.129934211,0,0,0,0,0,0,0,0,0.032482737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010278947,0,0,0,0,0,0.004933895,0,0,0,0,0,0,0,0.004522737,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,36,0,0.125,0,0,0,0,0,0,0,0,0.031249158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014390526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001644632,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083876842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065376632,0,0,0,0,0,0,0,0.019324737,0,0,0,0,0,0,0,0,0,0,0.002878105
EVEN-PAR ZUMA - 29HO16607,38,0,0.125,0,0,0,0,0,0,0,0,0.031249158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002467053,0,0,0,0,0.001644632,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,39,0,0.125,0,0,0,0,0,0,0,0,0.031249158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002467053,0,0,0,0,0.001644632,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,40,0,0.125,0,0,0,0,0,0,0,0,0.031249158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002467053,0,0,0,0,0.001644632,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,41,0,0.125,0,0,0,0,0,0,0,0,0.031249158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054273895,0,0,0,0,0,0,0,0,0.055921053,0,0,0,0,0,0,0,0,0,0,0,0.016035474,0,0.027138105,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053040316,0,0,0,0,0.029605263,0,0,0,0.029605263,0,0.014390526,0,0,0,0,0,0,0.007401263,0,0,0,0,0.007401263,0,0,0,0,0.001644632,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,44,0,0.123766421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053040316,0,0,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0,0,0,0.007401263,0,0,0,0,0.007401263,0,0,0,0,0.001644632,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083876842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024671053,0,0,0,0.009868421,0,0,0,0,0,0,0,0,0.006167684,0,0,0,0,0.002467053,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024670316,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019324737,0,0,0,0,0,0,0,0,0,0,0.002878105
SRC GLENMEAD RUSH - NZGGLENRUSH,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019324737,0,0,0,0,0,0,0,0,0,0,0
