column,Row Order,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,TO-MAR BLACKSTAR ET,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,MAUGHLIN STORM,SHOREMAR JAMES,BRAEDALE GOLDWYN,SINGING-BROOK N-B MASCOT ET,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,JOCKO BESN,GIBBON,SOUTHWIND BELL OF BAR-LEE,Q250 BESNE BUCK,WALKWAY CHIEF MARK,BIS-MAY S-E-L MOUNTAIN ET,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),SHOREMAR PERFECT STAR (ET),MARA-THON BW MARSHALL,MAIZEFIELD BELLWOOD - (E_T_),ETAZON CELSIUS,MJR BLACKSTAR EMORY-ET,HILL VALLEY BASAR ACME,STARTMORE RUDOLPH,BASAR,BIS-MAY TRADITION CLEITUS,NORRIELAKE CLEITUS LUKE TWIN,BELT,CARENDA FABULON-ET,FUSTEAD EMORY BLITZ,WHITTIER-FARMS NED BOY,CARLIN-M IVANHOE BELL,ETAZON KNOCK OUT,FATAL,ELITE GOLD BULLION-IMP-ET,COGENT TWIST,LOOKING MAJOR,DIXIE-LEE AARON -ET,KED JUROR ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,LONG-LANGS OMAN OMAN,COUNTRY ROAD ROUMARE CANBEE,MANNA FARM DEL SANTO
JET STAR MANOMAN TRICKIN - TRICKIN,15,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0.305921053,0.190789474,0,0.210526316,0,0,0.184210526,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
INDIJKS BABYLON - 29HO12470,16,0.473684211,0.427631579,1,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,17,0,0,0,0,0,0.578947368,0,0,0,0.378289474,0.246710526,0.233552632,0.279605263,0,0.220394737,0,0.190789474,0.1875,0,0.164473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,18,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0.279605263,0,0,0,0.190789474,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.082236842,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,19,0.473684211,0.427631579,0.5,0.315789474,0,0.289473684,0,0,0,0,0,0,0,0.243421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0.075657895,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243421053,0,0.305921053,0.190789474,0.375,0.210526316,0,0,0.184210526,0,0.319078947,0,0,0,0,0.210526316,0,0.203947368,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0
RENGAW JARDIN JANEK - JANEK,21,0,0,0,0,0.391447368,0.289473684,0,0.309210526,0.3125,0,0,0,0,0.243421053,0,0.305921053,0,0.1875,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,22,0,0,0,0,0,0,0.457236842,0,0,0,0,0,0.279605263,0.243421053,0,0,0.190789474,0.1875,0,0,0,0,0,0.319078947,0,0,0,0,0.210526316,0,0.203947368,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579
DYMENTHOLM S SYMPATICO - 0200HO02828,23,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.256578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,24,0.473684211,0.427631579,0.5,0.315789474,0,0,0.457236842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,25,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0.279605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,26,0,0,0,0,0,0,0.457236842,0,0,0,0,0,0,0.243421053,0,0.305921053,0.190789474,0.375,0.210526316,0,0,0.184210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082236842,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,27,0.473684211,0.427631579,0,0,0,0,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,28,0.473684211,0.427631579,0,0,0,0,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
MR APPLES ARMANI - 7H11703,29,0,0,0,0,0,0.578947368,0,0,0,0.378289474,0.246710526,0.233552632,0,0,0.220394737,0,0,0,0,0.164473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,30,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0.009868421,0,0
DE-SU RANSOM - ET - DESURANSOM,31,0.473684211,0.427631579,0,0,0,0.289473684,0,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111842105,0,0.105263158,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,32,0,0,0,0,0.391447368,0.289473684,0.457236842,0.309210526,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
VH OYVIND - VIKHOYVIND,33,0.473684211,0.427631579,0.5,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,34,0,0,0,0,0.391447368,0,0,0.309210526,0,0,0,0,0,0,0,0.305921053,0.190789474,0,0.210526316,0,0,0.184210526,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,35,0.473684211,0.427631579,0,0,0.391447368,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0.006578947,0.006578947,0.009868421,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,36,0.473684211,0.427631579,0,0,0,0,0,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111842105,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
EVEN-PAR ZUMA - 29HO16607,37,0.473684211,0.427631579,0,0,0,0,0,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111842105,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,38,0.473684211,0.427631579,0,0,0,0,0,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111842105,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
EDELWEISS - EDELWEISS,39,0,0,0,0,0,0,0.457236842,0,0,0,0,0,0,0,0,0.305921053,0.190789474,0,0.210526316,0,0,0.184210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,40,0,0,0,0,0.391447368,0,0,0,0.3125,0,0.246710526,0.233552632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,41,0,0,0,0,0.391447368,0,0.457236842,0.309210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,42,0.473684211,0.427631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0,0,0,0,0.457236842,0,0,0,0,0,0,0,0,0,0,0,0,0.328947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,44,0,0,0,0,0.391447368,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0.006578947,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,45,0,0,0,0,0,0,0,0,0,0,0,0,0.279605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240131579,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0.092105263,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,46,0,0,0,0,0,0,0,0,0,0,0,0,0.279605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0,0,0,0,0.075657895,0,0,0.092105263,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,47,0,0.427631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0.279605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0,0,0,0,0.075657895,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101973684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
