column,Row Order,MADAWASKA AEROSTAR,SINGING-BROOK N-B MASCOT ET,EMPRISE BELL ELTON,O-BEE MANFRED JUSTICE,TO-MAR BLACKSTAR ET,SOUTHWIND BELL OF BAR-LEE,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,GIBBON,JOCKO BESN,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,HANOVERHILL STARBUCK,A RONNYBROOK PRELUDE ET,OSDEL-ENDEAVOR BOVA CUBBY,CAROL PRELUDE MTOTO ET,ELITE MOUNTAIN DONOR IMP (E_T),PICSTON SHOTTLE,CARENDA FABULON-ET,BRAEDALE GOLDWYN,SHOREMAR JAMES,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),ELITE GOLD BULLION-IMP-ET,ROUMARE,LEKKER VALIANT ROYALTY,HILL VALLEY BASAR ACME,BASAR,FATAL,WALKWAY CHIEF MARK,BELT,AG-HIGH SIGHTS BS INGOT-ET,NORRIELAKE CLEITUS LUKE TWIN,WHITTIER-FARMS NED BOY,JARDIN,EMERALD-ACRES-SA TONIC ET,ETAZON ADDISON,UGELA BELL (PENN-SPRINGS MR C),MAIZEFIELD BELLWOOD - (E_T_),MARA-THON BW MARSHALL,CARLIN-M IVANHOE BELL,DELTA NLD GERRIS-ET,MJR BLACKSTAR EMORY-ET,TOP DECK KO PIERRE,BUSHLEA PERFECTOR BOLD-ET,BUSHLEA WAVES FABULON,BADGER-BLUFF FANNY FREDDIE,ST_ CLAIR SHOLTZ-TWIN
DE-SU ALTAMELHOR - 011HO11077,15,0.343065693,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0.087591241,0.113138686,0,0.113138686,0,0.072992701,0.072992701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,16,0.343065693,0,0,0,0.364963504,0,0,0,0,0,0,0,0.394160584,0.113138686,0,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,17,0,0,0,0,0,0,0,0,0.343065693,0.394160584,0,0.354014599,0,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0.109489051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,18,0.686131387,0,0,0,0,0,0,0.434306569,0,0,0,0,0,0,0,0,0,0,0,0.072992701,0.072992701,0,0,0.076642336,0,0,0,0,0,0,0,0.062043796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,19,0.343065693,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0.087591241,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,20,0.343065693,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0.087591241,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,21,0.343065693,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0.087591241,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,22,0,0.671532847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357664234,0,0,0,0,0,0,0,0.211678832,0,0,0,0,0,0,0,0,0.065693431,0,0,0,0,0,0.047445255,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,23,0,0,0.259124088,0.142335766,0,0,0.142335766,0.434306569,0,0,0,0,0,0,0.087591241,0,0,0,0,0.072992701,0.072992701,0,0,0.076642336,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,24,0,0,0.259124088,0.142335766,0,0,0.142335766,0.434306569,0,0,0,0,0,0,0.087591241,0,0,0,0,0.072992701,0.072992701,0,0,0.076642336,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,25,0,0,0.259124088,0.142335766,0,0,0.142335766,0.434306569,0,0,0,0,0,0,0.087591241,0,0,0,0,0.072992701,0.072992701,0,0,0.076642336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02919708,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,26,0.343065693,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0.197080292,0,0.087591241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083941606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,27,0,0,0.259124088,0.142335766,0.364963504,0,0.142335766,0,0,0,0,0,0,0.113138686,0.087591241,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,28,0,0.671532847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189781022,0,0,0,0,0,0,0,0,0.211678832,0,0,0,0,0.083941606,0,0,0,0,0,0,0,0.058394161,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,29,0.343065693,0,0,0,0.364963504,0,0,0,0,0,0,0,0,0.113138686,0,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,30,0,0,0.518248175,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0,0.087591241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062043796,0.062043796,0.02919708,0,0,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,31,0,0,0.259124088,0.142335766,0.364963504,0,0.142335766,0,0,0,0,0,0,0,0.087591241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,32,0,0,0,0.142335766,0,0,0.142335766,0.434306569,0,0,0,0,0,0,0,0,0,0,0,0.072992701,0.072992701,0,0,0.076642336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,33,0,0,0,0.142335766,0,0,0.142335766,0.434306569,0,0,0,0,0,0,0,0,0,0,0,0.072992701,0.072992701,0,0,0.076642336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,34,0.343065693,0,0,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025547445,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,35,0,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0,0.087591241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062043796,0.062043796,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,36,0,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0,0.087591241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065693431,0,0,0.02919708,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,37,0,0,0.259124088,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0,0.087591241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,38,0,0.671532847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113138686,0,0.113138686,0.204379562,0.072992701,0.072992701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025547445,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,40,0,0,0,0,0.364963504,0,0,0,0,0,0,0,0,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,41,0,0,0,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0,0,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,42,0,0,0,0,0.364963504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124087591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,43,0,0,0,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025547445,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,44,0,0,0,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025547445,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,45,0,0,0,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025547445,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189781022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083941606,0,0,0,0,0,0,0,0.058394161,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,47,0,0,0,0.142335766,0,0,0.142335766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113138686,0,0.113138686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189781022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,50,0,0,0,0.142335766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040145985,0
