column,Row Order,O-BEE MANFRED JUSTICE,ROUMARE,PICSTON SHOTTLE,JOCKO BESN,BRAEDALE GOLDWYN,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,JARDIN,SINGING-BROOK N-B MASCOT ET,CAROL PRELUDE MTOTO ET,GIBBON,ELITE MOUNTAIN DONOR IMP (E_T),HILL VALLEY BASAR ACME,Q250 BESNE BUCK,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,CARENDA FABULON-ET,TO-MAR BLACKSTAR ET,BIS-MAY S-E-L MOUNTAIN ET,BUSHLEA PERFECTOR BOLD-ET,SOUTHWIND BELL OF BAR-LEE,ELITE GOLD BULLION-IMP-ET,SHOREMAR JAMES,ETAZON KNOCK OUT,A RONNYBROOK PRELUDE ET,BUSHLEA WAVES FABULON,BADGER-BLUFF FANNY FREDDIE,OSDEL-ENDEAVOR BOVA CUBBY,BASAR,HANOVERHILL STARBUCK,MARA-THON BW MARSHALL,ST_ CLAIR SHOLTZ-TWIN,TOP DECK KO PIERRE,SHOREMAR PERFECT STAR (ET),ETAZON ADDISON,FATAL,BIS-MAY TRADITION CLEITUS,A MARK CJ GILBROOK GRAND ET,AG-HIGH SIGHTS BS INGOT-ET,DELTA NLD GERRIS-ET,LEKKER VALIANT ROYALTY,EMERALD-ACRES-SA TONIC ET,BELT,MAIZEFIELD BELLWOOD - (E_T_),WALKWAY CHIEF MARK,NORRIELAKE CLEITUS LUKE TWIN,WHITTIER-FARMS NED BOY,UGELA BELL (PENN-SPRINGS MR C),CARLIN-M IVANHOE BELL,MJR BLACKSTAR EMORY-ET
RENGAW MANOMAN WRANGLER-ET - WRANGLER,15,0.196917808,0,0.239726027,0,0,0.049229041,0,0,0,0.059931507,0,0,0,0,0.041949479,0.030819945,0,0,0,0,0,0,0,0,0.014982027,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005564712,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,16,0.196917808,0,0.239726027,0,0,0.049229041,0,0,0,0.059931507,0,0,0,0,0.041949479,0.030819945,0,0,0,0,0,0,0,0,0.014982027,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005564712,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,17,0.196917808,0,0.239726027,0,0,0.049229041,0,0,0,0.059931507,0,0,0,0,0.041949479,0.030819945,0,0,0,0,0,0,0,0,0.014982027,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005564712,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,18,0.217465753,0,0,0,0.128424658,0.054366027,0.123285918,0,0,0,0,0,0,0,0,0.032104219,0,0,0,0,0,0,0.032106082,0,0,0,0,0.011985644,0,0,0,0,0,0,0,0,0,0.009417205,0,0,0,0,0,0,0,0,0,0,0.003852493,0
INDIJKS BABYLON - 29HO12470,19,0.217465753,0,0,0,0,0.054366027,0,0,0,0,0,0,0,0,0,0.032532274,0,0,0.157529534,0,0,0,0,0,0,0,0,0.011985644,0,0,0,0,0,0,0.109160767,0,0,0,0,0,0.020974904,0,0,0,0,0,0,0,0.003852493,0
MAIRE MINT FIRE-UP - NZGFIREUP,20,0.196917808,0,0,0,0,0.049229041,0,0,0.104875616,0,0,0,0,0,0,0.030819945,0,0,0,0,0,0,0,0.139981918,0,0,0,0.01070137,0,0,0,0,0.059931507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,21,0.196917808,0,0,0,0.128424658,0.049229041,0.123285918,0,0,0,0,0,0,0,0,0.030819945,0,0,0,0,0,0,0.032106082,0,0,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0.009417205,0,0,0,0,0,0,0,0.005564712,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,22,0.196917808,0,0,0,0.128424658,0.049229041,0.123285918,0,0,0,0,0,0,0,0,0.030819945,0,0,0,0,0,0,0.032106082,0,0,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0.009417205,0,0,0,0,0,0,0,0.005564712,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,23,0.191780822,0,0.234589041,0,0,0.047944767,0,0,0,0.058647233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,24,0.191780822,0,0,0,0.128424658,0.047944767,0.123285918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032106082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009417205,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,25,0.191780822,0,0,0,0.128424658,0.047944767,0.123285918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032106082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009417205,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,26,0.196917808,0,0,0,0,0.049229041,0,0,0,0.065068493,0,0,0,0,0.041949479,0.030819945,0,0.053507726,0,0,0,0,0,0,0.016266301,0,0,0.01070137,0,0.023543014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,27,0,0,0.260273973,0,0,0,0,0,0,0.065068493,0,0,0,0,0.043233753,0,0,0.053507726,0,0,0,0,0,0,0.016266301,0,0,0,0,0.023971068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,28,0.217465753,0,0,0,0,0.054366027,0,0,0,0,0,0,0,0,0,0.032532274,0,0,0,0,0,0,0,0,0,0,0,0.011985644,0,0,0.092465753,0,0,0,0,0,0,0,0,0,0,0,0,0.023116274,0,0,0,0,0.003852493,0
GALLRAE TENNYSON YJ - YJ,29,0.196917808,0,0,0,0,0.049229041,0,0,0,0.059931507,0,0,0,0,0,0.030819945,0,0.053507726,0,0,0,0,0,0,0.014982027,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,30,0.190496548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,31,0,0,0.239726027,0,0,0,0,0,0,0.059931507,0,0,0,0,0.041949479,0,0,0.053507726,0,0,0,0,0,0,0.014982027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,32,0.196917808,0,0,0,0,0.049229041,0,0,0,0,0,0,0,0,0,0.030819945,0,0,0,0,0,0,0,0,0,0,0,0.01070137,0,0,0.087328767,0,0,0,0,0,0,0,0,0,0,0,0,0.021832,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,33,0,0,0,0,0.148972603,0,0.124570192,0,0,0,0,0,0,0,0.042377534,0,0,0,0,0,0,0,0.037243068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010701479,0,0,0,0,0,0,0.007704986,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,34,0.196917808,0,0,0,0,0.049229041,0,0,0,0,0,0,0,0,0.043233753,0.030819945,0,0,0,0,0,0,0,0,0,0,0,0.01070137,0,0.023543014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010273315,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,35,0,0,0,0,0,0,0,0,0.104875616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139981918,0,0,0,0,0,0,0,0,0.059931507,0,0,0.049656438,0,0,0,0,0,0,0,0,0,0,0,0.008133041,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,36,0.196917808,0,0,0,0,0.049229041,0,0,0,0,0,0,0,0,0,0.030819945,0,0.053507726,0,0,0,0,0,0,0,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,37,0.217465753,0,0,0,0,0.054366027,0,0,0,0,0,0,0,0,0,0.032104219,0,0,0,0,0,0,0,0,0,0,0,0.011985644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008133041,0.003852493,0
DE-SU RANSOM - ET - DESURANSOM,38,0.191780822,0,0,0,0,0.047944767,0,0,0,0,0,0,0,0,0.041949479,0,0,0,0,0,0,0,0,0,0.014982027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424438
ROSYLANE-LLC ALTALEO - 011HO11115,39,0,0,0.234589041,0,0,0,0,0,0,0.058647233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,40,0.196917808,0,0,0,0,0.049229041,0,0,0,0,0,0,0,0,0,0.030819945,0,0,0,0,0,0,0,0,0,0,0,0.01070137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005564712,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,41,0.191780822,0,0,0,0,0.047944767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014982027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424438
EVEN-PAR ZUMA - 29HO16607,42,0.191780822,0,0,0,0,0.047944767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014982027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424438
SEAGULL-BAY SUPERSIRE - 7H11351,43,0.191780822,0,0,0,0,0.047944767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014982027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424438
PENN-ENGLAND ISADOR - 29HO16319,44,0.191780822,0,0,0,0,0.047944767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,45,0,0,0,0,0,0,0,0,0.104875616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048372164,0.022686904,0,0,0.03553063,0,0,0,0,0,0,0.010273315,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,46,0,0,0,0,0,0,0,0,0,0.059931507,0,0,0,0,0,0,0,0.053507726,0,0,0,0,0,0,0.014982027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,47,0,0,0,0,0,0,0,0,0.104875616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022686904,0,0,0.03553063,0,0,0,0,0,0,0.010273315,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008133041,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022686904,0,0,0,0,0,0,0,0,0,0,0,0,0
